,ville_code_commune,duration_toulouse,distance_toulouse,base_duration_toulouse
1064,12218,8321,185719,8208
1065,12033,7698,176847,7539
1066,12174,6545,155265,6355
1067,12124,9038,195042,8857
1068,12122,9993,286437,9848
1069,12051,11506,238288,11342
1070,12009,9103,173999,8839
1071,12219,9001,199900,8837
1072,12238,8728,193282,8564
1073,12078,8799,172972,8652
1074,31307,4323,80392,4125
1075,31188,1646,27542,1604
1076,31012,4822,100041,4609
1077,31305,4580,112604,4313
1078,31123,7036,151643,6749
1079,31470,6802,149558,6523
1080,31219,3070,65560,2948
1081,31418,1444,19451,1357
1082,31030,3592,73320,3439
1083,31540,2674,29381,2477
1084,31551,2422,23641,2226
1085,31541,1392,17208,1306
1086,31458,1245,17554,1206
1087,31087,2663,44526,2591
1088,31078,5536,126541,5244
1089,31176,5251,124821,4927
1090,31346,2431,41560,2312
1091,31243,2765,48179,2621
1092,31523,3267,77464,3084
1093,31550,4187,91603,3979
1094,31056,1166,13904,1085
1095,31535,4665,105415,4410
1096,31432,7006,153188,6674
1097,31228,1482,24553,1407
1098,31258,2456,47624,2377
1099,31296,3344,78553,3137
1100,31483,3997,93619,3729
1101,31259,1328,13441,1249
1102,31298,5426,130028,5062
1103,31578,1659,14891,1578
1104,31135,2514,59145,2428
1105,31166,2139,40072,2060
1106,31159,4617,112663,4356
1107,31181,1559,31950,1516
1108,31491,3515,45443,3281
1109,31460,1358,21130,1292
1110,31264,2633,40186,2475
1111,31501,1649,26776,1556
1112,31301,4433,77599,4385
1113,31291,1244,17936,1197
1114,31544,4743,99178,4531
1115,31149,952,9858,913
1116,31112,3976,85082,3783
1117,31409,1805,18099,1698
1118,31190,6114,136840,5845
1119,31178,3616,72946,3553
1120,31436,3005,61625,2945
1121,31139,5172,125772,4846
1122,31195,4424,92039,4180
1123,31108,4939,98909,4659
1124,31349,2765,65646,2635
1125,31354,2521,44065,2370
1126,31045,4762,115261,4453
1127,31383,2403,37990,2274
1128,31183,3448,80709,3266
1129,31360,8065,155381,7892
1130,31381,1737,27091,1626
1131,31395,1689,26221,1634
1132,31552,3384,72346,3285
1133,31374,2017,30799,1904
1134,31160,2034,25153,1898
1135,31311,2593,40821,2500
1136,31095,4653,104418,4413
1137,31499,2287,35127,2235
1138,31029,2170,21471,1974
1139,31575,1264,11182,1183
1140,31446,1185,7218,1036
1141,31333,3452,64755,3285
1142,31419,3169,51046,3092
1143,31405,4936,121505,4628
1144,31493,4575,92644,4294
1145,31008,3986,70838,3777
1146,31345,2224,35048,2072
1147,31127,7426,154284,7177
1148,31196,3274,72157,3173
1149,31031,4211,106736,3971
1150,31084,2843,67934,2695
1151,31531,5433,124528,5159
1152,31206,3212,50470,3046
1153,31237,3775,83044,3570
1154,31077,3125,48252,2988
1155,31579,1805,30438,1728
1156,31338,1932,27747,1869
1157,31503,3480,78784,3278
1158,31339,1953,32591,1871
1159,31590,5816,132090,5529
1160,31009,5396,124905,5077
1161,31230,1616,19638,1557
1162,31213,7315,154475,7000
1163,31153,2858,62145,2745
1164,31179,2746,49923,2632
1165,31150,1109,13215,1029
1166,31556,4437,109619,4203
1167,31340,1342,11860,1257
1168,31537,3685,86617,3454
1169,31560,2389,43031,2261
1170,31463,3507,61561,3342
1171,31215,2022,18198,1859
1172,31137,2389,43031,2261
1173,31234,2788,36933,2540
1174,31194,2182,41113,2085
1175,31438,2001,28477,1940
1176,31574,1616,26355,1508
1177,31182,1346,12711,1286
1178,31466,1935,30308,1895
1179,31332,2770,42306,2603
1180,31004,1804,27595,1694
1181,31113,1520,15875,1421
1182,31330,2631,40995,2479
1183,31397,4277,78319,4091
1184,31359,3016,62284,2954
1185,31557,905,10504,853
1186,31479,4357,79840,4168
1187,31525,2640,50570,2548
1188,31476,2315,51904,2270
1189,31256,2106,32589,1981
1190,31145,2991,45783,2819
1191,31454,2605,42839,2548
1192,31522,4218,74272,4169
1193,31106,2802,50718,2684
1194,31252,1937,23353,1870
1195,31262,2579,45053,2415
1196,31279,3305,62375,3228
1197,31306,5206,123637,4891
1198,31492,2920,54386,2820
1199,31021,4360,101108,4110
1200,31023,4107,86070,3877
1201,31367,3390,74799,3211
1202,31484,1449,16520,1372
1203,31376,3824,83261,3619
1204,31041,4910,119350,4618
1205,31304,2407,44948,2302
1206,31511,2014,34616,1924
1207,31185,2712,45542,2553
1208,31433,1104,11207,1028
1209,31299,2004,32600,1944
1210,31384,1765,27800,1647
1211,31456,3571,72176,3490
1212,31437,2070,32788,1938
1213,31107,2202,45109,2149
1214,31201,3430,63748,3263
1215,31081,8306,160025,8107
1216,31474,3370,61788,3241
1217,31116,1602,20666,1539
1218,31174,4185,91726,3988
1219,31171,1882,29891,1789
1220,31455,2690,51420,2589
1221,31394,6094,140961,5811
1222,31208,3927,86979,3735
1223,31227,1601,16023,1519
1224,31167,4587,96767,4389
1225,31286,2401,54121,2317
1226,31255,4543,112859,4244
1227,31303,2116,39750,2074
1228,31509,5203,123637,4891
1229,31517,2405,46334,2313
1230,31089,2007,25553,1831
1231,31357,4080,88854,3880
1232,31526,1198,18475,1155
1233,31469,3319,66351,3260
1234,31006,2711,48726,2595
1235,31532,5139,101095,4836
1236,31048,1696,27170,1552
1237,31260,3484,80988,3272
1238,31582,2276,38984,2134
1239,31351,1548,19783,1425
1240,31343,3479,63302,3297
1241,31038,2015,33849,1877
1242,31007,3616,71735,3525
1243,31061,2222,32504,2145
1244,31261,2200,48139,2154
1245,31249,2223,32784,2101
1246,31246,3454,82908,3235
1247,31292,3006,64358,2887
1248,31585,4558,102819,4310
1249,31158,4466,109694,4210
1250,31390,4170,107020,3934
1251,31401,2120,33676,2002
1252,31140,4253,90299,4054
1253,31312,2909,55641,2806
1254,31241,4723,98179,4505
1255,31355,1702,12567,1547
1256,31584,2838,44076,2728
1257,31457,3068,69627,2896
1258,31156,3270,44542,2967
