objectid;id_rte500;nature;toponyme;type;codeuic;region;departement;date_maj;geo_shape;geo_point_2d
159;3278;Gare de voyageurs et de fret;Capdenac;gare avec accueil du public;87613109;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.078391766154127, 44.57835721052796]}";44.5783572105,2.07839176615
165;3334;Gare de voyageurs;Saint-Féliu-d'Avall;halte ferroviaire;87784520;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.738389828902811, 42.677196144204494]}";42.6771961442,2.7383898289
179;3368;Gare de voyageurs;Saint-Christophe-Marcillac;gare avec accueil du public;87613257;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.40782597581292, 44.46434607173123]}";44.4643460717,2.40782597581
180;3371;Gare de voyageurs;Figeac;gare avec accueil du public;87613091;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.037685622272495, 44.6024627127105]}";44.6024627127,2.03768562227
182;3569;Gare de voyageurs;Mont-Louis-La Cabanasse;gare avec accueil du public;87784793;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.113174066896045, 42.50196419817456]}";42.5019641982,2.1131740669
187;3629;Gare de voyageurs;Saint-Martin-du-Touch;halte ferroviaire;87353599;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.372090332032768, 43.59957322436056]}";43.5995732244,1.37209033203
210;3893;Gare de voyageurs;Albias;halte ferroviaire;87613398;Occitanie;82;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.444305560509588, 44.09162434356527]}";44.0916243436,1.44430556051
217;3934;Gare de voyageurs et de fret;Cerbère;gare avec accueil du public;87785006;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.162539849618076, 42.44085193030988]}";42.4408519303,3.16253984962
223;3944;Gare de voyageurs;Vielmur-sur-Agout;halte ferroviaire;87775197;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.089442871850268, 43.62408806870602]}";43.6240880687,2.08944287185
229;3965;Gare de voyageurs;Salles-Courbatiers;halte ferroviaire;87613877;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.078942057618274, 44.47541217399369]}";44.475412174,2.07894205762
